id,tm_imp
1Z6O, 0.3538
6UIW, 0.5890
1G63, 0.2425
2P1B, 0.3570
3KIF, 0.1973
1NGK, 0.1049
2A3W, 0.2394
5BSE, 0.4348
1DW9, 0.5000
3ZK1, 0.3215
7AJP, 0.2470
5LK5, 0.1284
1H2I, 0.3006
6GRJ, 0.2196
3ZQM, 0.4807
7JQZ, 0.4936
6QLV, 0.6332
3N99, 0.1710
1Q95, 0.2270
2BX9, 0.2254
6FWH, 0.2386
1IWA, 0.4768
2WYR, 0.4601
1F1H, 0.5850
1IS7, 0.5930
1KB9, 0.2419
6ESQ, 0.2982
6WBN, 0.4457
6KRB, 0.1686
6MST, 0.1283
1IJG, 0.4474
2E6G, 0.2983
1L6W, 0.4228
1AVO, 0.3593
4K2J, 0.2137
4IC1, 0.5731
6X04, 0.3187
5J09, 0.3161
1D0I, 0.2475
2GRE, 0.4756
3TXQ, 0.3608
2OBX, 0.4791
3BJQ, 0.3144
2VYR, 0.2235
2DJW, 0.4163
3HHW, 0.5983
2V18, 0.2384
1BCF, 0.1646
5B04, 0.1980
5N5E, 0.2504
5JQL, 0.1632
2VYC, 0.3014
2NV2, 0.2404
2QJG, 0.4634
5AA5, 0.2365
5NFR, 0.1098
1TR0, 0.1530
3TOS, 0.4647
1X0R, 0.6174
6OVH, 0.1219
4JPN, 0.4036
7C4J, 0.1187
2FKD, 0.5758
1I50, 0.3276
1A8R, 0.1753
6Z1F, 0.2831
2X2V, 0.4774
2EWC, 0.2452
6G94, 0.3504
3MQ7, 0.1667
3LAY, 0.3838
1HKX, 0.3962
6OFG, 0.3025
4EJ0, 0.4695
3FP9, 0.4445
3ONR, 0.2198
2YMD, 0.4701
1KYO, 0.2236
1VDM, 0.2024
1RBL, 0.7064
5JYX, 0.1986
1JYM, 0.2536
6RD7, 0.1366
7JZ2, 0.3529
3A2C, 0.2673
3DTD, 0.2772
1NLX, 0.1031
6ZK9, 0.3078
3VG8, 0.1713
1TH7, 0.3797
1Q5Q, 0.2043
2WCV, 0.2720
1YKK, 0.1739
3BFJ, 0.1861
6ZEE, 0.2563
1X9F, 0.3777
1GH0, 0.1499
1RVV, 0.1646
4RAP, 0.1643
1DPS, 0.4613
6W6M, 0.3316
2G9T, 0.1759
6E7D, 0.1406
3OOQ, 0.1822
1N8J, 0.2474
6UWR, 0.2608
6JCV, 0.1655
3R90, 0.0945
3ZNU, 0.7588
2V5H, 0.4056
1X0P, 0.6568
2BL2, 0.2378
1M3U, 0.8375
6N3P, 0.6285
3M0W, 0.2203
4BHU, 0.1416
5F2Q, 0.1456
2C41, 0.5293
3JVO, 0.5044
6OSJ, 0.1991
1KP8, 0.4012
3M1A, 0.2431
4RSU, 0.4117
6LQH, 0.3648
3U6X, 0.2009
1TYF, 0.2744
1M5Q, 0.1748
1BHC, 0.1427
4RDQ, 0.4938
1QAW, 0.6575
6YBQ, 0.2297
4F4S, 0.3523
5CW7, 0.2061
3K6C, 0.6143
1L0L, 0.2539
6MRT, 0.2029
6M3X, 0.0982
5ODC, 0.3919
1VF7, 0.4066
