"id","no. of individual chains","no. of chains","global symmetry","Symmetry","stoichiometry","Oligomer type"
"1A8R",1,10,"D5","dihedral","A10","homomer"
"1AVO",2,14,"C7","cyclic","A7B7","heteromer"
"1BCF",1,24,"O","octahedral","A24","homomer"
"1BHC",1,10,"D5","dihedral","A10","homomer"
"1D0I",1,12,"T","tetrahedral","A12","homomer"
"1DPS",1,12,"T","tetrahedral","A12","homomer"
"1DW9",1,10,"D5","dihedral","A10","homomer"
"1F1H",1,12,"D6","dihedral","A12","homomer"
"1G0U",14,28,"C2","cyclic","A2B2C2D2E2F2G2H2I2J2K2L2M2N2","heteromer"
"1G63",1,12,"T","tetrahedral","A12","homomer"
"1GH0",12,12,"D3","dihedral","A6B6","heteromer"
"1H2I",1,11,"C11","cyclic","A11","homomer"
"1HKX",1,14,"D7","dihedral","A14","homomer"
"1I50",10,10,"C1","asymmetric","A1B1C1D1E1F1G1H1I1J1","heteromer"
"1IJG",1,12,"C12","cyclic","A12","homomer"
"1IRU",14,28,"C2","cyclic","A2B2C2D2E2F2G2H2I2J2K2L2M2N2","heteromer"
"1IS7",2,20,"D5","dihedral","A10B10","heteromer"
"1IWA",2,16,"D4","dihedral","A8B8","heteromer"
"1JYM",1,10,"C2","cyclic","A10","homomer"
"1KB9",11,11,"C1","asymmetric","A1B1C1D1E1F1G1H1I1J1K1","heteromer"
"1KP8",1,14,"D7","dihedral","A14","homomer"
"1KYO",12,23,"C1","asymmetric","A2B2C2D2E2F2G2H2I2J2K2L1","heteromer"
"1L0L",11,11,"C1","asymmetric","A1B1C1D1E1F1G1H1I1J1K1","heteromer"
"1L6W",1,10,"D5","dihedral","A10","homomer"
"1M3U",1,10,"D5","dihedral","A10","homomer"
"1M5Q",1,14,"C7","cyclic","A14","homomer"
"1MFR",1,24,"O","octahedral","A24","homomer"
"1N8J",1,10,"D5","dihedral","A10","homomer"
"1NGK",1,12,"D3","dihedral","A12","homomer"
"1NLX",1,14,"C1","asymmetric","A14","homomer"
"1PCQ",2,21,"C7","cyclic","A14B7","heteromer"
"1Q5Q",2,14,"C7","cyclic","A7B7","heteromer"
"1Q95",2,12,"D3","dihedral","A6B6","heteromer"
"1QAW",1,11,"C11","cyclic","A11","homomer"
"1RBL",1,16,"D4","dihedral","A8B8","homomer"
"1RVV",1,30,"C2","cyclic","A30","homomer"
"1S3Q",1,24,"T","tetrahedral","A24","homomer"
"1TH7",1,14,"D7","dihedral","A14","homomer"
"1TR0",1,12,"D6","dihedral","A12","homomer"
"1TYF",1,14,"D7","dihedral","A14","homomer"
"1VDM",1,12,"D3","dihedral","A12","homomer"
"1VF7",1,13,"H","helical","A13","homomer"
"1X0P",1,10,"D5","dihedral","A10","homomer"
"1X0R",1,10,"D5","dihedral","A10","homomer"
"1X9F",4,12,"C3","cyclic","A10","heteromer"
"1YKK",2,24,"T","tetrahedral","A12B12","heteromer"
"1Z6O",2,24,"T","tetrahedral","A12B12","heteromer"
"2A3W",1,10,"D5","dihedral","A10","homomer"
"2BL2",1,10,"C10","cyclic","A10","homomer"
"2BX9",1,12,"T","tetrahedral","A12","homomer"
"2C41",1,12,"T","tetrahedral","A12","homomer"
"2D3A",1,10,"D5","dihedral","A10","homomer"
"2DD4",3,12,"D2","dihedral","A4B4C4","heteromer"
"2DJW",1,10,"D5","dihedral","A10","homomer"
"2E6G",1,12,"C1","asymmetric","A12","homomer"
"2EWC",1,12,"C1","asymmetric","A12","homomer"
"2FKD",1,14,"D7","dihedral","A14","homomer"
"2G9T",1,12,"T","tetrahedral","A12","homomer"
"2GRE",1,12,"T","tetrahedral","A12","homomer"
"2NV2",2,24,"D6","dihedral","A12B12","heteromer"
"2OBX",1,10,"D5","dihedral","A10","homomer"
"2P1B",1,10,"D5","dihedral","A10","homomer"
"2QJG",1,10,"D5","dihedral","A10","homomer"
"2V18",1,12,"T","tetrahedral","A12","homomer"
"2V5H",2,12,"D3","dihedral","A6B6","heteromer"
"2V7Q",6,10,"C1","asymmetric","A3B3C1D1E1F1","heteromer"
"2VYC",1,10,"D5","dihedral","A10","homomer"
"2VYR",2,12,"C1","asymmetric","A8B4","heteromer"
"2WCV",1,10,"D5","dihedral","A10","homomer"
"2WYR",1,12,"T","tetrahedral","A12","homomer"
"2X2V",1,13,"C13","cyclic","A13","homomer"
"2YMD",1,10,"D5","dihedral","A10","homomer"
"3A2C",1,12,"T","tetrahedral","A12","homomer"
"3BFJ",1,10,"D5","dihedral","A10","homomer"
"3BJQ",1,10,"D5","dihedral","A10","homomer"
"3DTD",1,12,"T","tetrahedral","A12","homomer"
"3FP9",1,12,"D6","dihedral","A12","homomer"
"3HHW",2,20,"C10","cyclic","A10B10","heteromer"
"3JVO",1,13,"C13","cyclic","A13","homomer"
"3K6C",1,10,"D5","dihedral","A10","homomer"
"3KIF",1,10,"C1","asymmetric","A10","homomer"
"3LAY",1,10,"D5","dihedral","A10","homomer"
"3M0W",1,10,"D5","dihedral","A10","homomer"
"3M1A",1,10,"D5","dihedral","A10","homomer"
"3MQ7",1,12,"C1","asymmetric","A12","homomer"
"3N99",1,10,"D5","dihedral","A10","homomer"
"3OJ5",1,24,"O","octahedral","A24","homomer"
"3ONR",1,12,"T","tetrahedral","A12","homomer"
"3OOQ",1,10,"D5","dihedral","A10","homomer"
"3R90",1,12,"D6","dihedral","A12","homomer"
"3TOS",1,10,"D5","dihedral","A10","homomer"
"3TXQ",1,11,"C11","cyclic","C11","homomer"
"3U6X",2,12,"C3","cyclic","A9B3","heteromer"
"3VG8",1,20,"D5","dihedral","A20","homomer"
"3ZIA",6,10,"C1","dihedral","A3B3C1D1E1F1","heteromer"
"3ZK1",1,11,"C11","cyclic","A11","homomer"
"3ZNU",1,10,"D5","dihedral","A10","homomer"
"3ZQM",1,10,"C10","cyclic","A10","homomer"
"4BHU",1,10,"C2","cyclic","A10","homomer"
"4C2M",15,15,"C1","asymmetric","A1B1C1D1E1F1G1H1I1J1K1L1M1N1O1","heteromer"
"4EJ0",1,10,"D5","dihedral","A10","homomer"
"4F4S",1,10,"C10","cyclic","A10","homomer"
"4IC1",1,10,"D5","dihedral","A10","homomer"
"4JPN",1,10,"C10","cyclic","A10","homomer"
"4K2J",1,10,"D5","dihedral","A10","homomer"
"4RAP",1,12,"D6","dihedral","A12","homomer"
"4RDQ",3,15,"C5","cyclic","A5B5C5","heteromer"
"4RSU",2,12,"C2","cyclic","A6B6","heteromer"
"5AA5",2,12,"D3","dihedral","A6B6","heteromer"
