id,sub_component,tmscores2
1X9F,sub-component_all/1X9F_0-0-2_2.pdb,0.6761
3R90,sub-component_all/3R90_0-0-0-0_2.pdb,0.4094
4RSU,sub-component_all/4RSU_1-1-1-1_2.pdb,0.3887
4RDQ,sub-component_all/4RDQ_0-0-1-1_3.pdb,0.3941
7CGE,sub-component_all/7CGE_0-0-0_0.pdb,0.6529
7CGE,sub-component_all/7CGE_2-2-3_1.pdb,0.3812
7JJP,sub-component_all/7JJP_0-0-0-0_3.pdb,0.3489
6J0B,sub-component_all/6J0B_0-0-1-1_2.pdb,0.6663
6RO0,sub-component_all/6RO0_0-2-4_1.pdb,0.5087
1Q5Q,sub-component_all/1Q5Q_0-0-0-0_3.pdb,0.4654
6RO0,sub-component_all/6RO0_0-4-4_3.pdb,0.4925
6RO0,sub-component_all/6RO0_1-2-4_3.pdb,0.6289
3JVO,sub-component_all/3JVO_0-0-0-0_2.pdb,0.5447
3M0W,sub-component_all/3M0W_0-0-0-0_0.pdb,0.4511
5AA5,sub-component_all/5AA5_1-1-1-1_0.pdb,0.5416
6RO0,sub-component_all/6RO0_0-0-2_4.pdb,0.4078
7JZ2,sub-component_all/7JZ2_2-3-3_3.pdb,0.9203
2NV2,sub-component_all/2NV2_0-0-0-1_4.pdb,0.9107
1Z6O,sub-component_all/1Z6O_0-0-0-0_0.pdb,0.4531
6ZEE,sub-component_all/6ZEE_0-0-1-1_4.pdb,0.5457
1NLX,sub-component_all/1NLX_0-0-0-0_2.pdb,0.4047
1X9F,sub-component_all/1X9F_0-1-1_1.pdb,0.9552
6G94,sub-component_all/6G94_0-1-1-2_3.pdb,0.9341
1RBL,sub-component_all/1RBL_1-1-1-1_0.pdb,0.3999
7JZ2,sub-component_all/7JZ2_1-2-2_4.pdb,0.8574
4RSU,sub-component_all/4RSU_1-1-1-1_0.pdb,0.4563
6RKE,sub-component_all/6RKE_1-1-1-1_4.pdb,0.9476
5CW7,sub-component_all/5CW7_0-0-0-0_4.pdb,0.3137
6NHT,sub-component_all/6NHT_0-0-1-1_4.pdb,0.3118
7JZ2,sub-component_all/7JZ2_2-2-3_0.pdb,0.8151
1BCF,sub-component_all/1BCF_0-0-0-0_2.pdb,0.4769
2V5H,sub-component_all/2V5H_1-1-1-1_0.pdb,0.6836
6RO0,sub-component_all/6RO0_1-3-4_0.pdb,0.7879
2VYR,sub-component_all/2VYR_0-0-0-0_4.pdb,0.3183
3M1A,sub-component_all/3M1A_0-0-0-0_3.pdb,0.4809
2WCV,sub-component_all/2WCV_0-0-0-0_4.pdb,0.4998
5LK5,sub-component_all/5LK5_0-0-0-0_3.pdb,0.3613
7CGE,sub-component_all/7CGE_0-2-2_4.pdb,0.6223
7CGE,sub-component_all/7CGE_0-1-3_0.pdb,0.8375
6OSJ,sub-component_all/6OSJ_0-0-0-0_0.pdb,0.1683
6X04,sub-component_all/6X04_0-0-0-1_2.pdb,0.38
3HHW,sub-component_all/3HHW_0-0-0-0_1.pdb,0.3059
6E7D,sub-component_all/6E7D_1-1-1-1_0.pdb,0.2472
6W6M,sub-component_all/6W6M_0-0-0-0_2.pdb,0.6482
6Z1F,sub-component_all/6Z1F_0-2-2-2_1.pdb,0.5372
6ESQ,sub-component_all/6ESQ_1-2-2-2_4.pdb,0.9899
5F2Q,sub-component_all/5F2Q_0-0-0-0_2.pdb,0.9736
5JQL,sub-component_all/5JQL_0-0-0-0_0.pdb,0.2519
3M0W,sub-component_all/3M0W_0-0-0-0_4.pdb,0.4503
1PCQ,sub-component_all/1PCQ_0-0-0-0_4.pdb,0.6021
6RO0,sub-component_all/6RO0_0-0-3_4.pdb,0.4274
6NHT,sub-component_all/6NHT_0-0-1-1_0.pdb,0.3185
2V5H,sub-component_all/2V5H_0-0-1-1_0.pdb,0.6476
6J0B,sub-component_all/6J0B_0-1-1-1_3.pdb,0.5042
1X9F,sub-component_all/1X9F_1-2-3_2.pdb,0.7143
6LQH,sub-component_all/6LQH_1-1-1-1_2.pdb,0.2248
1RBL,sub-component_all/1RBL_0-0-0-1_4.pdb,0.9566
6G94,sub-component_all/6G94_1-1-2-2_0.pdb,0.7038
2VYR,sub-component_all/2VYR_0-0-0-1_2.pdb,0.3118
1IWA,sub-component_all/1IWA_1-1-1-1_4.pdb,0.9976
6RO0,sub-component_all/6RO0_0-3-3_2.pdb,0.5529
7JZ2,sub-component_all/7JZ2_0-2-2_0.pdb,0.7626
7JZ2,sub-component_all/7JZ2_0-0-0_3.pdb,0.3204
2YMD,sub-component_all/2YMD_0-0-0-0_3.pdb,0.9694
6G94,sub-component_all/6G94_1-1-1-1_2.pdb,0.5525
3HHW,sub-component_all/3HHW_0-0-1-1_0.pdb,0.933
7CGE,sub-component_all/7CGE_1-2-3_4.pdb,0.7075
7CGE,sub-component_all/7CGE_1-3-3_4.pdb,0.4748
6RO0,sub-component_all/6RO0_0-3-4_1.pdb,0.7728
1X9F,sub-component_all/1X9F_1-2-3_0.pdb,0.8845
3LAY,sub-component_all/3LAY_0-0-0-0_4.pdb,0.4483
7NRQ,sub-component_all/7NRQ_0-0-0-0_2.pdb,0.0506
6NHT,sub-component_all/6NHT_0-1-1-1_2.pdb,0.5276
7JJP,sub-component_all/7JJP_0-0-0-0_4.pdb,0.4426
6G94,sub-component_all/6G94_0-0-0-2_4.pdb,0.3919
3KIF,sub-component_all/3KIF_0-0-0-0_3.pdb,0.4247
6X04,sub-component_all/6X04_1-1-1-1_4.pdb,0.3238
4BHU,sub-component_all/4BHU_1-1-1-1_1.pdb,0.5256
6RO0,sub-component_all/6RO0_0-1-2_0.pdb,0.513
6MRT,sub-component_all/6MRT_0-0-0-0_3.pdb,0.3019
7JZ2,sub-component_all/7JZ2_0-0-3_1.pdb,0.409
2NV2,sub-component_all/2NV2_0-1-1-1_3.pdb,0.7132
3R90,sub-component_all/3R90_0-0-0-0_4.pdb,0.3604
6YBQ,sub-component_all/6YBQ_1-1-1-1_1.pdb,0.1995
2WYR,sub-component_all/2WYR_0-0-0-0_4.pdb,0.5513
7CGE,sub-component_all/7CGE_0-2-2_0.pdb,0.6144
6ESQ,sub-component_all/6ESQ_0-0-0-2_1.pdb,0.9854
