id,tm_molpc2
1HKX,mcts
1Z6O,sub-component error
6UIW,success
5K2M,missing interaction
1G63,sub-component error
3ZIA,missing interaction
2P1B,missing interaction
3KIF,sub-component error
1NGK,sub-component error
2A3W,missing interaction
5BSE,success
1DW9,sub-component error
3ZK1,success
1IRU,missing interaction
7AJP,sub-component error
1G0U,missing interaction
5LK5,sub-component error
1H2I,sub-component error
6J0B,sub-component error
6GRJ,sub-component error
3ZQM,mcts
7JQZ,success
5T11,success
6LNI,sub-component error
6QLV,sub-component error
3N99,sub-component error
1Q95,sub-component error
2BX9,sub-component error
6FWH,mcts
1IWA,success
1S3Q,excess chain
2WYR,mcts
1F1H,success
6NHT,sub-component error
1IS7,sub-component error
6ESQ,mcts
6WBN,mcts
6KRB,missing interaction
6MST,missing interaction
1IJG,success
2E6G,missing interaction
1L6W,success
6S5L,missing interaction
1AVO,success
4K2J,missing interaction
4IC1,success
6X04,sub-component error
5J09,sub-component error
1D0I,sub-component error
2GRE,success
3TXQ,sub-component error
2V7Q,missing interaction
2OBX,missing interaction
3BJQ,missing interaction
1MFR,success
2VYR,sub-component error
1PCQ,sub-component error
2D3A,missing interaction
2DJW,missing interaction
3HHW,success
2V18,missing interaction
1BCF,excess chain
6SSI,sub-component error
6RKE,missing interaction
5B04,sub-component error
5N5E,success
5JQL,sub-component error
2VYC,success
2NV2,success
2QJG,success
5AA5,sub-component error
6RO0,sub-component error
5NFR,sub-component error
1TR0,sub-component error
7NRQ,sub-component error
5TRM,missing interaction
3TOS,success
6RDB,missing interaction
1X0R,success
6OVH,sub-component error
4JPN,missing interaction
5UK3,success
6QSU,missing interaction
2FKD,sub-component error
1A8R,success
6Z1F,sub-component error
2X2V,success
2EWC,missing interaction
6G94,sub-component error
3MQ7,missing interaction
3LAY,sub-component error 
6OFG,sub-component error
4EJ0,missing interaction
3FP9,missing interaction
3ONR,missing interaction
2YMD,missing interaction
1VDM,missing interaction
7JKC,sub-component error
1RBL,sub-component error
6Z16,missing interaction
5JYX,missing interaction
1JYM,missing interaction
7JZ2,missing interaction
6KWY,missing interaction
3A2C,missing interaction
3DTD,sub-component error
1NLX,missing interaction
3VG8,sub-component error
1TH7,missing interaction
1Q5Q,sub-component error
2WCV,success
1YKK,sub-component error
6PYT,sub-component error
3BFJ,success
6ZEE,sub-component error
3OJ5,success
1X9F,sub-component error
1GH0,unknown
1RVV,success
4RAP,success
1DPS,success
6W6M,missing interaction
2G9T,sub-component error
6E7D,missing interaction
3OOQ,success
1N8J,success
5XPB,success
6UWR,missing interaction
6JCV,success
3R90,missing interaction
3ZNU,mcts
2V5H,sub-component error
1X0P,success
2BL2,success
1M3U,success
6N3P,sub-component error
3M0W,sub-component error
4BHU,sub-component error
5F2Q,missing interaction
2C41,missing interaction
3JVO,missing interaction
6SQR,sub-component error
6OSJ,sub-component error
1KP8,missing interaction
3M1A,missing interaction
4RSU,sub-component error
6LQH,excess chain
3U6X,mcts
1TYF,mcts
1M5Q,missing interaction
6SDZ,missing interaction
1BHC,missing interaction
4RDQ,missing interaction
1QAW,success
6YBQ,excess chain
5OVS,success
4F4S,success
2DD4,sub-component error
5CW7,sub-component error
3K6C,success
6MRT,missing interaction
6M3X,excess chain
7JJP,sub-component error
5ODC,sub-component error
1VF7,missing interaction
6RD7,missing interaction
